AssetType,customer,TradeId,AggGroup,tradingBook,StartDate,endDate,tradeCurrency,transcation_amont
 IR_SWAP,C0,T0,A0,TB0,20190807,20210322, USD,1
 IR_SWAP,C1,T1,A1,TB0,20190807,20191206, AUD,2
 IR_SWAP,C0,T2,A0,TB0,20190807,20210322, USD,3
 IR_SWAP,C0,T3,A0,TB0,20190807,20210322, USD,4
 IR_SWAP,C1,T4,A1,TB0,20190807,20240621, AUD,5
 IR_SWAP,C0,T5,A0,TB0,20190807,20210322, USD,6
 IR_SWAP,C1,T6,A1,TB0,20190807,20191001, AUD,2
 IR_SWAP,C1,T7,A1,TB0,20190807,20200629, NZD,3
 IR_SWAP,C1,T8,A1,TB0,20190807,20240411, AUD,4
 IR_SWAP,C1,T9,A1,TB0,20190807,20200320, AUD,5
 IR_SWAP,C1,T10,A1,TB0,20190807,20191122, AUD,3
 IR_SWAP,C1,T11,A1,TB0,20190807,20290308, NZD,2
 IR_SWAP,C1,T12,A1,TB0,20190807,20200116, AUD,3
 IR_SWAP,C1,T13,A1,TB0,20190807,20200121, AUD,4
 IR_SWAP,C1,T14,A1,TB0,20190807,20300114, AUD,5
 IR_SWAP,C1,T15,A1,TB0,20190807,20210920, NZD,6
 IR_SWAP,C1,T16,A1,TB0,20190807,20210920, NZD,4
 IR_SWAP,C1,T17,A1,TB0,20190807,20210920, NZD,3
 IR_SWAP,C1,T18,A1,TB0,20190807,20191108, AUD,4
 IR_SWAP,C1,T19,A1,TB0,20190807,20210920, NZD,5
 IR_SWAP,C1,T20,A1,TB0,20190807,20210920, NZD,4
 IR_SWAP,C1,T21,A1,TB0,20190807,20210920, NZD,3
 IR_SWAP,C1,T22,A1,TB0,20190807,20220627, AUD,2
 IR_SWAP,C1,T23,A1,TB0,20190807,20200617, AUD,4
 IR_SWAP,C1,T24,A1,TB0,20190807,20200427, AUD,5
 IR_SWAP,C1,T25,A1,TB0,20190807,20200312, AUD,6
 IR_SWAP,C1,T26,A1,TB0,20190807,20200115, AUD,6
 IR_SWAP,C1,T27,A1,TB0,20190807,20290625, AUD,7
 IR_SWAP,C1,T28,A1,TB0,20190807,20340703, AUD,7
 IR_SWAP,C1,T29,A1,TB0,20190807,20281220, NZD,8
 IR_SWAP,C1,T30,A1,TB0,20190807,20240411, AUD,4
 IR_SWAP,C1,T31,A1,TB0,20190807,20200414, AUD,3
 IR_SWAP,C1,T32,A1,TB0,20190807,20210201, AUD,2
 IR_SWAP,C1,T33,A1,TB0,20190807,20340321, AUD,4
 IR_SWAP,C1,T34,A1,TB0,20190807,20191206, AUD,5
 IR_SWAP,C1,T35,A1,TB0,20190807,20240411, AUD,6
 IR_SWAP,C0,T36,A0,TB0,20190807,20290809, NZD,5
 IR_SWAP,C1,T37,A1,TB0,20190807,20220120, AUD,3
 IR_SWAP,C0,T38,A0,TB0,20190807,20290809, NZD,3
 IR_SWAP,C0,T39,A0,TB0,20190807,20280809, NZD,5
 IR_SWAP,C0,T40,A0,TB0,20190807,20280809, NZD,6
 IR_SWAP,C0,T41,A0,TB0,20190807,20221219, AUD,7
 IR_SWAP,C1,T42,A1,TB0,20190807,20210517, NZD,5
 IR_SWAP,C0,T43,A0,TB0,20190807,20291218, AUD,3
 IR_SWAP,C0,T44,A0,TB0,20190807,20230809, NZD,2
 IR_SWAP,C1,T45,A1,TB0,20190807,20191206, AUD,3
 IR_SWAP,C0,T46,A0,TB0,20190807,20290809, NZD,4
 IR_SWAP,C2,T47,A2,TB0,20190807,20200214, NZD,4
 IR_SWAP,C0,T48,A0,TB0,20190807,20291218, AUD,5
 IR_SWAP,C1,T49,A1,TB0,20190807,20220908, AUD,6
 IR_SWAP,C0,T50,A0,TB0,20190807,20220808, AUD,4
 IR_SWAP,C1,T51,A1,TB0,20190807,20191206, AUD,3
 IR_SWAP,C3,T52,A3,TB0,20190807,20210826, USD,2
 IR_SWAP,C1,T53,A1,TB0,20190807,20220705, NZD,3
 IR_SWAP,C0,T54,A0,TB0,20190807,20220809, NZD,4
 IR_SWAP,C1,T55,A1,TB0,20190807,20240918, NZD,5
 IR_SWAP,C1,T56,A1,TB0,20190807,20340919, AUD,5
 IR_SWAP,C0,T57,A0,TB0,20190807,20210809, NZD,5
 IR_SWAP,C0,T58,A0,TB0,20190807,20290809, NZD,5
 IR_SWAP,C4,T59,A4,TB0,20190807,20240809, USD,5
 IR_SWAP,C4,T60,A4,TB0,20190807,20230809, USD,2
 IR_SWAP,C1,T61,A1,TB0,20190807,20340614, NZD,2
